target_id	length	eff_length	est_counts	tpm
AT1G13120.1	2427	2248	15	8.73987
AT1G49780.1	1414	1235	3	3.18174
AT1G70580.1	1795	1616	20	16.2106
AT1G76210.1	1032	853	1	1.53554
AT1G07360.1	1689	1510	21	18.216
AT1G49520.1	1337	1158	4	4.5244
AT1G77720.1	2753	2574	7	3.56204
AT1G72000.1	1500	1321	0	0
AT1G77710.1	647	468	57	159.529
AT1G07330.1	2058	1879	0	0
AT1G17250.1	2271	2092	1.77653	1.1123
AT1G47970.1	924	745	38	66.8093
AT1G69070.1	2815	2636	16.719	8.30756
AT1G71970.1	1000	821	16	25.5262
AT1G48010.1	537	358	0	0
AT1G71980.1	1952	1773	31	22.9014
AT1G14610.1	3632	3453	82	31.1048
AT1G69050.1	425	246	0	0
AT1G69060.1	2309	2130	5.28105	3.24751
AT1G17270.1	1958	1779	5	3.68132
AT1G77680.1	3846	3667	16	5.71504
AT1G76180.1	1018	839	559	872.689
AT1G14600.1	942	763	3	5.14999
AT1G77690.1	1727	1548	21	17.7688
AT1G49770.1	1178	999	0	0
AT1G47980.1	1148	969	2	2.70344
AT1G17260.1	2844	2665	2	0.982975
AT1G48000.1	905	726	0	0
AT1G69100.1	1104	925	0	0
AT1G47990.1	966	787	1	1.66431
AT1G69090.1	1206	1027	0	0
AT1G69080.1	883	704	7	13.0237
AT1G14590.1	1328	1149	5	5.6998
AT1G13180.1	1915	1736	6	4.52701
AT1G77730.1	798	619	0	0
AT1G07370.1	1025	846	11	17.0307
AT1G55675.1	870	691	7	13.2687
AT1G07420.1	1168	989	12	15.8926
AT1G42090.1	614	435	0	0
AT1G16225.1	669	490	0	0
AT1G49480.1	1598	1419	29	26.7686
AT1G49475.1	904	725	1	1.80664
AT1G13160.1	2654	2475	19	10.0551
AT1G76140.1	2629	2450	33.0852	17.688
AT1G42080.1	456	277	0	0
AT1G17420.1	2957	2778	0	0
AT1G49470.1	1141	962	5	6.80777
AT1G16240.1	1088	909	72	103.748
AT1G73250.1	1254	1075	7	8.52903
AT1G16220.1	1476	1297	1	1.00988
AT1G16230.1	582	403	0	0
AT1G42070.1	1475	1296	0	0
AT1G49450.1	2017	1838	5	3.56315
AT1G76130.1	1491	1312	7	6.98834
AT1G62770.1	868	689	27	51.328
AT1G07410.1	755	576	2	4.54797
AT1G13150.1	1822	1643	2	1.59442
AT1G70560.1	1399	1220	5	5.36809
AT1G76160.1	2008	1829	48	34.3746
AT1G55670.1	780	601	1836	4001.36
AT1G49510.1	1215	1036	18	22.7574
AT1G17220.1	3686	3507	124	46.3122
AT1G07380.1	2340	2161	16	9.69784
AT1G77740.1	2698	2519	21	10.9195
AT1G13130.1	1786	1607	1	0.815068
